time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T18:43:36.538Z,28.8748,142.4579,10,4.9,mb,,124,1.788,0.55,us,us70006sla,2019-12-30T19:53:15.040Z,"199km N of Chichi-shima, Japan",earthquake,5.2,1.9,0.047,142,reviewed,us,us
2019-12-30T18:41:34.900Z,33.5778333,-116.8151667,3.35,2.51,ml,93,15,0.04547,0.23,ci,ci39017831,2019-12-30T19:25:23.123Z,"13km W of Anza, CA",earthquake,0.18,0.59,0.107,26,automatic,ci,ci
2019-12-30T18:14:24.350Z,65.8266,-150.9495,7.1,2.6,ml,,,,0.66,ak,ak019gqaf753,2019-12-30T19:30:35.040Z,"89km NE of Tanana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-30T18:01:41.845Z,42.1919,23.5482,10,4.5,mb,,62,1.819,0.49,us,us70006sk5,2019-12-31T03:45:37.606Z,"15km S of Samokov, Bulgaria",earthquake,5.6,1.9,0.192,8,reviewed,us,us
2019-12-30T17:49:58.333Z,35.6352,74.6337,16.3,5.1,mww,,43,2.277,0.71,us,us70006sjv,2019-12-30T22:24:40.040Z,"38km NNW of Idgah, Pakistan",earthquake,6.7,3.9,0.078,16,reviewed,us,us
2019-12-30T17:41:55.820Z,17.8586,-66.8695,11,2.56,md,10,250,0.1169,0.21,pr,pr2019364008,2019-12-30T17:56:04.599Z,"13km SSE of Guanica, Puerto Rico",earthquake,1.2,0.74,0.26,9,reviewed,pr,pr
2019-12-30T17:18:57.357Z,35.5846,74.611,13.28,5.4,mww,,41,2.224,0.68,us,us70006sj8,2019-12-31T03:27:48.155Z,"34km NW of Idgah, Pakistan",earthquake,6.6,3.9,0.089,12,reviewed,us,us
2019-12-30T17:12:33.937Z,35.7275,74.4364,10,4.6,mb,,81,2.284,0.65,us,us70006sif,2019-12-30T19:16:52.734Z,"24km SSE of Gilgit, Pakistan",earthquake,7.4,1.9,0.085,41,reviewed,us,us
2019-12-30T17:00:24.420Z,17.9271,-66.8895,7,2.78,md,14,220,0.0491,0.16,pr,pr2019364007,2019-12-30T17:50:50.040Z,"14km S of Guanica, Puerto Rico",earthquake,0.59,0.29,0.34,10,reviewed,pr,pr
2019-12-30T16:59:03.575Z,6.6411,94.3691,97.59,4.9,mww,,89,2.923,0.98,us,us70006si5,2019-12-30T17:55:34.040Z,"133km NW of Sabang, Indonesia",earthquake,8.4,6.6,0.078,16,reviewed,us,us
